state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name
13,215,0009,14129,2,Lead (TSP) LC,2018-02-01,2020-12-31,,POINT,MICROSCALE,0 M TO 100 M,SOURCE ORIENTED,813,HI-VOL - ICP-MS  FRM; Heated ultrasonic 1.03M HNO3/2.23M HCl or Hot block 1:19 v/v HNO3,2018-02-01,,,,,0437,Georgia Air Protection Branch Ambient Monitoring Program,3354,32.4344,-84.9293,NAD83,0.0,83.0,2.3,GROUND LEVEL SUPPORT,Columbus-Allied,"4365 ALLIED DRIVE, COLUMBUS, GA 31906",Georgia,Muscogee,Columbus,17980,"Columbus, GA-AL",194,"Columbus-Auburn-Opelika, GA-AL",,
17,031,0110,14129,1,Lead (TSP) LC,2010-01-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,109,HI-VOL - ICAP SPECTRA,2021-03-01,Y,Y,SLAMS,,0513,Illinois Environmental Protection Agency,95318,41.85577,-87.657928,WGS84,3.0,181.0,7.5,TOP OF BUILDING,PEREZ ELEMENTRY SCHOOL,1241 19th St.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
17,031,0022,14129,2,Lead (TSP) LC,2010-01-01,,,POINT,NEIGHBORHOOD,500 M TO 4KM,HIGHEST CONCENTRATION,109,HI-VOL - ICAP SPECTRA,2021-03-01,Y,,SLAMS,,0513,Illinois Environmental Protection Agency,3673,41.687165,-87.539315,WGS84,5.0,178.0,9.0,TOP OF BUILDING,WASHINGTON HS,3535 E. 114TH ST.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
17,119,0010,14129,9,Lead (TSP) LC,2013-01-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,109,HI-VOL - ICAP SPECTRA,2021-03-01,,,SLAMS,,0513,Illinois Environmental Protection Agency,3919,38.694438,-90.153954,WGS84,10.0,137.0,7.0,TOP OF BUILDING,AIR PRODUCTS,15TH & MADISON,Illinois,Madison,Granite City,41180,"St. Louis, MO-IL",476,"St. Louis-St. Charles-Farmington, MO-IL",,
17,119,0010,14129,1,Lead (TSP) LC,2010-01-01,,,AREA,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,109,HI-VOL - ICAP SPECTRA,2021-03-01,Y,Y,SLAMS,,0513,Illinois Environmental Protection Agency,3919,38.694438,-90.153954,WGS84,10.0,137.0,7.0,TOP OF BUILDING,AIR PRODUCTS,15TH & MADISON,Illinois,Madison,Granite City,41180,"St. Louis, MO-IL",476,"St. Louis-St. Charles-Farmington, MO-IL",,
17,031,0110,14129,9,Lead (TSP) LC,2013-04-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,SOURCE ORIENTED,109,HI-VOL - ICAP SPECTRA,2021-03-01,,,SLAMS,,0513,Illinois Environmental Protection Agency,95318,41.85577,-87.657928,WGS84,3.0,181.0,7.5,TOP OF BUILDING,PEREZ ELEMENTRY SCHOOL,1241 19th St.,Illinois,Cook,Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
18,089,0032,14129,1,Lead (TSP) LC,2010-01-08,,,,MIDDLE SCALE,100 M TO 500 M,POPULATION EXPOSURE; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2010-01-08,Y,,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,95551,41.603582,-87.332658,WGS84,4.0,159.0,6.0,GROUND LEVEL SUPPORT,Gary- 4th Ave./ Railcats,1 Stadium Plaza- Gary- 4th Ave.- Railcats,Indiana,Lake,Gary,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
18,035,0009,14129,4,Lead (TSP) LC,2013-05-19,,,POINT,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2013-05-19,,,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,4251,40.158417,-85.415021,WGS84,10.0,270.434,2.1,GROUND LEVEL SUPPORT,Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE,Muncie- Mt. Pleasant Blvd.  2601 W. MT. PLEASANT BLVD. - EAST SITE,Indiana,Delaware,Muncie,34620,"Muncie, IN",294,"Indianapolis-Carmel-Muncie, IN",,
18,035,0009,14129,3,Lead (TSP) LC,2010-01-14,,,POINT,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2010-01-14,Y,Y,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,4251,40.158417,-85.415021,WGS84,10.0,270.434,2.1,GROUND LEVEL SUPPORT,Muncie- Mt. Pleasant Blvd.  LOCATED NE OF PLANT - DOWNWIND SITE,Muncie- Mt. Pleasant Blvd.  2601 W. MT. PLEASANT BLVD. - EAST SITE,Indiana,Delaware,Muncie,34620,"Muncie, IN",294,"Indianapolis-Carmel-Muncie, IN",,
18,089,0034,14129,1,Lead (TSP) LC,2012-10-25,,,POINT,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2012-10-25,Y,,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,96919,41.653501,-87.435561,NAD83,7.0,147.542,4.66,GROUND LEVEL SUPPORT,East Chicago-Marina,East Chicago- Marina/ 3301 Aldis St.,Indiana,Lake,East Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
18,089,0034,14129,2,Lead (TSP) LC,2019-11-01,,,POINT,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2019-11-01,,,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,96919,41.653501,-87.435561,NAD83,7.0,147.542,4.66,GROUND LEVEL SUPPORT,East Chicago-Marina,East Chicago- Marina/ 3301 Aldis St.,Indiana,Lake,East Chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
18,127,0027,14129,1,Lead (TSP) LC,2011-08-25,,,,MIDDLE SCALE,100 M TO 500 M,HIGHEST CONCENTRATION; SOURCE ORIENTED,107,Hi-Vol - Flameless Atomic absorption (GFAA); 3M HNO3 Boil 30 min,2011-08-25,Y,,SLAMS,,0520,Indiana Depart Of Environ Management/Office Of Air Quality,96386,41.635181,-87.150367,WGS84,10.0,156.574,2.1,GROUND LEVEL SUPPORT,Burns Harbor- Port of Indiana,Portage- Burns Harbor /Port of Indiana 6600 US Highway 12/ E. Boundry Rd.,Indiana,Porter,Portage,16980,"Chicago-Naperville-Elgin, IL-IN-WI",176,"Chicago-Naperville, IL-IN-WI",,
